Cylinders,Transmission,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
4,AS5,9.9,6.7,8.5,33,196
4,M6,11.2,7.7,9.6,29,221
4,AV7,6.0,5.8,5.9,48,136
6,AS6,12.7,9.1,11.1,25,255
6,AS6,12.1,8.7,10.6,27,244
6,AS6,11.9,7.7,10.0,28,230
6,AS6,11.8,8.1,10.1,28,232
6,AS6,12.8,9.0,11.1,25,255
6,M6,13.4,9.5,11.6,24,267
4,AS5,10.6,7.5,9.2,31,212
4,M6,11.2,8.1,9.8,29,225
6,AS5,12.1,8.3,10.4,27,239
4,AM6,9.7,6.9,8.4,34,193
12,A6,18.0,12.6,15.6,18,359
12,A6,18.0,12.6,15.6,18,359
8,AM7,17.4,11.3,14.7,19,338
8,M6,18.1,12.2,15.4,18,354
8,AM7,17.4,11.3,14.7,19,338
8,M6,18.1,12.2,15.4,18,354
12,A6,18.0,12.6,15.6,18,359
4,AV8,9.9,7.4,8.8,32,202
4,AS8,11.5,8.1,10.0,28,230
4,M6,10.8,7.5,9.3,30,214
4,AS8,11.5,8.1,10.0,28,230
4,AS8,11.5,8.1,10.0,28,230
4,M6,10.8,7.5,9.3,30,214
4,AS8,12.0,8.1,10.2,28,235
6,AS8,12.8,8.6,10.9,26,251
6,AS8,13.3,8.5,11.2,25,262
6,AS8,13.1,8.8,11.2,25,258
8,AS8,13.7,8.3,11.3,25,265
6,AS8,13.1,8.8,11.2,25,258
8,AS8,14.7,9.7,12.5,23,288
12,AS8,18.7,11.5,15.5,18,363
4,AS8,11.8,8.8,10.5,27,242
4,AS8,12.0,8.5,10.4,27,239
6,AS8,12.9,9.2,11.2,25,258
4,AS8,9.9,8.3,9.2,31,212
6,AS8,15.1,10.9,13.2,21,304
8,A7,17.6,11.0,14.6,19,336
8,M6,21.2,13.4,17.7,16,407
10,A7,18.2,10.6,14.8,19,347
10,M6,21.1,13.8,17.8,16,409
8,A7,17.6,11.0,14.6,19,336
8,M6,21.2,13.4,17.7,16,407
10,A7,18.2,10.6,14.8,19,347
10,M6,21.1,13.8,17.8,16,409
8,A7,15.3,10.9,13.3,21,306
8,A7,15.2,11.3,13.4,21,308
8,AS8,15.5,8.8,12.5,23,293
6,A7,13.2,9.2,11.4,25,262
6,M6,14.6,9.8,12.4,23,285
6,A7,13.2,9.2,11.4,25,262
6,M6,14.6,9.8,12.4,23,285
6,A7,13.3,9.5,11.6,24,267
8,A7,14.2,9.7,12.2,23,281
8,A7,14.2,9.7,12.2,23,281
8,AS8,15.8,9.2,12.8,22,300
6,AS8,14.9,10.1,12.7,22,292
4,A6,10.4,7.6,9.1,31,209
4,A6,10.4,7.6,9.1,31,209
4,A6,11.5,8.8,10.3,27,237
4,A6,11.5,8.8,10.3,27,237
8,AS8,16.3,9.8,13.4,21,314
12,AS8,18.8,11.5,15.5,18,356
8,AS8,17.4,10.2,14.2,20,332
12,AS8,20.0,12.2,16.5,17,380
12,AS8,20.0,12.2,16.5,17,380
12,AS8,20.3,11.9,16.5,17,388
8,AS8,22.3,14.9,19.0,15,437
4,A8,10.0,6.5,8.4,34,193
4,M6,10.4,6.7,8.7,32,200
4,A8,10.2,7.0,8.8,32,202
4,A8,10.0,6.5,8.4,34,193
4,M6,10.4,6.7,8.7,32,200
4,A8,10.6,7.2,9.1,31,209
4,A8,10.6,7.2,9.1,31,209
4,A8,10.6,7.2,9.1,31,209
6,A8,11.4,7.3,9.6,29,221
6,M6,11.8,7.9,10.0,28,230
6,A8,11.7,7.8,9.9,29,228
6,M6,11.9,8.3,10.3,27,237
6,A8,11.9,8.0,10.1,28,232
4,A8,10.0,6.5,8.4,34,193
4,M6,10.4,6.7,8.7,32,200
4,A8,10.6,7.2,9.1,31,209
6,A8,11.4,7.3,9.6,29,221
6,M6,11.8,7.9,10.0,28,230
6,A8,11.7,7.8,9.9,29,228
6,M6,11.9,8.3,10.3,27,237
4,A8,10.2,7.0,8.8,32,202
4,A8,10.6,7.2,9.1,31,209
6,A8,11.9,8.0,10.1,28,232
6,A8,12.5,8.6,10.7,26,246
8,A8,14.4,9.6,12.2,23,281
8,A8,15.0,9.8,12.7,22,292
6,A8,11.9,8.0,10.1,28,232
8,A8,15.0,9.8,12.7,22,292
8,A8,14.4,9.6,12.2,23,281
8,A8,15.0,9.8,12.7,22,292
6,A8,12.5,8.6,10.7,26,246
8,A8,15.0,9.8,12.7,22,292
8,A8,15.0,9.8,12.7,22,292
12,A8,18.7,11.5,15.5,18,356
6,A8,9.2,7.1,8.3,34,191
6,A8,10.5,7.9,9.3,30,214
6,A8,10.5,7.6,9.2,31,212
8,A8,15.0,9.8,12.7,22,292
8,A8,15.0,9.8,12.7,22,292
8,AM7,17.3,11.5,14.7,19,338
8,M6,16.2,10.9,13.8,20,317
8,AM7,17.3,11.5,14.7,19,338
8,M6,16.2,10.9,13.8,20,317
8,AM7,17.3,11.5,14.7,19,338
8,M6,16.2,10.9,13.8,20,317
8,AM7,17.3,11.5,14.7,19,338
8,M6,16.2,10.9,13.8,20,317
4,A8,10.6,7.2,9.1,31,209
6,A6,13.2,8.9,11.3,25,260
4,A8,11.2,8.5,10.0,28,230
6,A8,12.6,9.1,11.0,26,253
6,A8,12.9,8.8,11.1,25,255
8,A8,16.3,10.9,13.9,20,320
8,A6,18.1,13.7,16.1,18,370
6,A8,13.6,9.8,11.9,24,274
8,A8,16.4,11.3,14.1,20,324
4,A8,10.8,7.1,9.1,31,209
4,M6,10.4,6.7,8.7,32,200
6,AM7,13.7,10.1,12.1,23,278
6,M6,12.7,9.0,11.0,26,253
6,AM7,13.7,10.1,12.1,23,278
6,A6,14.3,9.9,12.3,23,283
