Total Interactions,Page total likes,Post Month,Post Weekday,Post Hour,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share
164,139441,12,3,10,10460,19057,1457,1361,1674,11710,6112,1108,5,130.0,29.0
186,139441,12,1,9,10472,20849,1191,1073,1389,16034,7852,1016,1,152.0,33.0
192,139441,12,7,3,11844,22538,1530,1407,1692,15220,7912,1250,0,161.0,31.0
252,139441,12,5,10,21744,42334,4258,4100,4540,37849,18952,3798,0,233.0,19.0
108,138414,12,3,10,10060,19680,1264,1209,1425,17272,8548,1162,4,86.0,18.0
75,138414,12,2,3,3930,7509,130,86,112,5009,2410,101,4,54.0,17.0
121,138414,12,6,10,8488,15294,1341,1270,1489,9684,5244,995,3,99.0,19.0
106,138458,12,6,3,8284,15104,1521,1462,1711,10266,5372,1200,0,88.0,18.0
494,138458,12,5,11,19552,34143,2806,2531,3420,17748,9824,1779,10,412.0,72.0
269,138895,12,7,9,17576,33058,5352,5202,6547,23135,11792,4104,11,227.0,31.0
262,138895,12,6,11,13280,24198,2055,1912,2720,17627,9344,1716,7,216.0,39.0
214,138353,12,3,11,16576,30612,3572,3464,4802,24363,12888,3014,4,174.0,36.0
273,137893,11,4,11,9056,16362,1006,847,1153,9562,5180,740,3,226.0,44.0
101,137177,11,7,3,8728,17827,2295,2235,2828,15418,7344,2099,2,86.0,13.0
117,137177,11,5,2,6692,13092,199,108,141,7549,3336,156,2,99.0,16.0
378,137020,10,5,3,12468,24917,2143,1966,2576,15850,7636,1661,7,310.0,61.0
238,136736,10,1,4,9504,19556,1132,1032,1512,16018,7616,981,17,193.0,28.0
271,136736,10,7,3,13872,27468,2664,2570,3395,20198,10432,2252,4,217.0,50.0
232,136393,10,7,9,15816,30514,2733,2654,3289,23584,11912,2361,6,186.0,40.0
154,136013,10,5,3,8896,17202,1480,1426,1932,13838,7020,1292,0,129.0,25.0
265,136013,10,3,10,13152,25666,2543,2438,3179,20547,10280,2278,2,227.0,36.0
1009,136013,10,3,2,31136,59964,6164,5934,9237,35977,18048,4376,60,859.0,90.0
179,135713,10,7,4,10744,20691,1967,1877,2201,17502,8964,1834,3,148.0,28.0
288,135617,9,6,4,11096,21080,1843,1724,2106,16095,8120,1604,4,243.0,41.0
228,135195,9,1,10,21256,41906,4840,4754,5906,35455,17592,4318,38,163.0,27.0
189,135195,9,6,10,13216,24738,2675,2584,2969,19599,10232,2342,2,165.0,22.0
199,134879,9,4,4,9124,17776,1476,1397,1797,13887,7092,1331,20,150.0,29.0
70,132817,8,3,2,9236,16054,1151,1130,1560,14014,7880,1075,2,53.0,15.0
57,131956,8,2,12,14424,26000,304,286,383,25539,14056,291,41,15.0,1.0
86,131808,8,7,4,8260,14305,997,953,1211,12905,7360,956,1,74.0,11.0
404,131808,8,6,10,20168,35904,3370,3244,5106,26881,15056,2806,18,332.0,54.0
121,131808,7,5,14,15296,25269,2827,2781,3627,22103,13296,2602,9,95.0,17.0
21,131630,7,2,6,10824,20573,135,126,153,20030,10384,126,6,14.0,1.0
17,131300,7,7,10,10956,19279,128,119,130,18838,10564,123,3,13.0,1.0
572,130791,7,4,6,17360,33613,2573,2448,6017,23338,11800,1905,9,484.0,79.0
300,129600,7,5,12,15576,27513,2417,2327,3098,19078,10840,1839,11,238.0,51.0
87,128032,7,5,10,10188,16978,1473,1441,2136,14450,8536,1395,13,61.0,13.0
148,126424,7,3,13,18320,31448,3742,3682,7854,25584,14920,3300,36,98.0,14.0
117,126345,6,7,11,12044,20327,2240,2193,3599,17717,10400,2119,0,104.0,13.0
94,126141,6,6,4,8628,14847,870,843,1692,11970,6796,774,4,72.0,18.0
67,119198,5,1,2,10152,17099,1636,1599,2755,15382,8980,1613,2,55.0,10.0
255,116435,5,4,3,23832,42313,1701,1570,2838,37816,21352,1578,6,210.0,39.0
166,116091,5,5,7,9232,16811,908,861,1967,12996,7200,843,1,129.0,36.0
587,113028,4,6,3,17912,34774,2750,2567,6591,21009,11408,2256,17,447.0,123.0
34,104070,3,3,15,9120,14759,951,937,1290,13246,8004,924,3,25.0,6.0
